Ticker,Total Volume,Average Close
A,36223200,143.2155532836914
AA,135966400,59.996110916137695
AAA,48100,24.99555566575792
AAAU,18280000,18.076111051771377
AACG,39602900,1.9288888971010845
AACI,870200,9.846500131818983
AACIU,18600,10.061611069573296
AADI,2862200,21.666666666666668
AADR,100200,62.8011105855306
AAGR,670861,7.033532778422038
AAL,726829800,17.86666663487752
AAME,438800,2.6527777777777777
AAN,3509900,22.86722215016683
AAOI,10113700,4.341111116939121
AAON,6936000,47.22111129760742
AAP,11646900,234.1977767944336
AAPL,1812968700,169.56222195095486
AAT,4112900,37.312221950954864
AAXJ,26142200,82.69500011867947
AB,7129000,48.54611078898112
ABAT,4903840,12.826666726006401
ABBV,150248400,134.94722154405383
ABCB,8481900,52.679999669392906
ABCL,40637200,10.526111178927952
ABEO,2380204,7.0
ABEQ,115900,28.504222234090168
ABEV,407488000,2.6833333439297147
ABG,4976700,168.09889136420355
ABIO,2867100,2.0172221991750927
ABL,310000,9.869999885559082
ABM,9646500,42.57999971177843
ABNB,103543600,158.74388885498047
ABOS,4100400,5.462777800030178
ABR,30225200,18.114444414774578
ABSI,63162800,6.92666663063897
ABT,140043100,129.66222169664172
ABTS,3768900,2.6683333582348294
ABUS,55794800,3.1711111068725586
ABVC,236480,31.62777805328369
AC,82400,44.232221603393555
ACA,3491900,50.61000018649631
ACABU,32860500,9.996111022101509
ACAD,26708800,22.40055561065674
ACB,12034860,51.03888850741916
ACBA,3500,10.134166399637857
ACCD,29003200,20.374444272783066
ACCO,7714400,8.238333384195963
ACEL,4943100,12.489444361792671
ACES,1557000,56.92444398668077
ACET,5569300,14.303888850741917
ACGL,29337100,45.628333197699654
ACGLN,1115100,25.397777875264484
ACGLO,375200,25.617166731092667
ACHC,8899100,55.722777684529625
ACHL,1049100,4.234444512261285
ACHR,36986800,4.122222171889411
ACHV,946300,7.946666585074531
ACI,51543300,29.42999988132053
ACIC,1597000,4.187222242355347
ACIO,1104700,31.736278110080296
ACIU,2632600,4.653333372539944
ACIW,11963200,34.00499958462186
ACLS,8363200,66.50999980502658
ACM,11004300,72.76777818467882
ACMR,12389700,26.87425931294759
ACN,58188300,361.38944159613715
ACNB,321800,33.354999754163956
ACNT,1154800,16.639444563123917
